"num_particles","num_metainference","proposal_name","aide_estimate","aide_stderr","gold_standard_name"
1,1,"prior",78.55869571477746,1.6368701091959945,"exact"
1,1,"prior",78.66627197160666,1.6668389432960513,"approximate"
1,1,"optimal",18.477569960256822,0.8083002417814755,"exact"
1,1,"optimal",18.475503867489167,0.8903890264940584,"approximate"
1,100,"prior",80.04103064235352,1.7767192839106833,"exact"
1,100,"prior",77.9395953543005,1.7352047433481492,"approximate"
1,100,"optimal",15.558319167501056,0.9320813010277125,"exact"
1,100,"optimal",15.764916196819932,0.8092937846618623,"approximate"
3,1,"prior",41.45980897812882,1.2575985054318108,"exact"
3,1,"prior",43.388276455861075,1.1835796586034422,"approximate"
3,1,"optimal",16.24594419157406,0.7248760413655564,"exact"
3,1,"optimal",17.264441280757293,0.5832443699904649,"approximate"
3,100,"prior",35.252007317795844,1.2062004891488698,"exact"
3,100,"prior",34.58559760350799,1.143231878337798,"approximate"
3,100,"optimal",11.38652495353242,0.6103792455020186,"exact"
3,100,"optimal",11.208560306798146,0.5560304309555752,"approximate"
10,1,"prior",17.796879820365266,0.6613026031805758,"exact"
10,1,"prior",16.63071081060188,0.599120825120645,"approximate"
10,1,"optimal",7.933431552555829,0.4024743609116008,"exact"
10,1,"optimal",7.919791211354951,0.3898813041044751,"approximate"
10,100,"prior",11.178274659291667,0.6057951883749089,"exact"
10,100,"prior",12.486502807389414,0.589119393253169,"approximate"
10,100,"optimal",4.795199844861526,0.4002681288787232,"exact"
10,100,"optimal",4.409974316671789,0.3436336395661815,"approximate"
30,1,"prior",7.171615572408358,0.41139476866754343,"exact"
30,1,"prior",7.127034932967502,0.41034704866050165,"approximate"
30,1,"optimal",3.158928066378331,0.23109419567179393,"exact"
30,1,"optimal",3.172354729297466,0.2527454675705047,"approximate"
30,100,"prior",2.9177148474745884,0.28174165314764427,"exact"
30,100,"prior",3.0669274577856727,0.29196969218929253,"approximate"
30,100,"optimal",0.950750433583137,0.13401663809821848,"exact"
30,100,"optimal",0.8118127005364508,0.16290293616799428,"approximate"
100,1,"prior",1.8964792936847272,0.19769370585096274,"exact"
100,1,"prior",2.17574990543411,0.20848968327042092,"approximate"
100,1,"optimal",1.1500910315299444,0.1480502683133112,"exact"
100,1,"optimal",0.7859319179873142,0.1300604681001399,"approximate"
100,100,"prior",0.34393642960430804,0.08420143115651671,"exact"
100,100,"prior",0.3804839311889867,0.10156733609432371,"approximate"
100,100,"optimal",0.06641210408719495,0.04188199796760097,"exact"
100,100,"optimal",0.11064645103165653,0.05422878168962074,"approximate"
