"sampler_name","num_metainference","num_mcmc_iters","aide_estimate","aide_estimate_standard_error","median_runtime"
"mcmc",1,0,8.166067766322646,0.10095641446924492,1.2590000000000001e-6
"mcmc",10,0,8.039825499037127,0.09515083011172688,1.2215e-6
"mcmc",1000,0,8.34168853412917,0.10106280374005372,1.853e-6
"mcmc",1,1,8.192591654586964,0.10036141548086727,1.616e-6
"mcmc",10,1,7.157818247147766,0.0952388514932352,1.502e-6
"mcmc",1000,1,5.506612434768768,0.08032960516127984,1.4965e-6
"mcmc",1,2,8.176535722402342,0.09970672786170853,1.739e-6
"mcmc",10,2,6.628458318974517,0.09272812817197609,1.6445e-6
"mcmc",1000,2,4.802962484260069,0.07858534165320462,1.648e-6
"mcmc",1,4,8.304233653700159,0.10088467185132423,2.507e-6
"mcmc",10,4,6.528659806005796,0.0929144225720044,2.075e-6
"mcmc",1000,4,4.029489440428131,0.07729173349228158,2.0440000000000003e-6
"mcmc",1,8,8.25943681458488,0.09980865136282689,2.858e-6
"mcmc",10,8,6.191243634804927,0.09135298166735302,2.8730000000000003e-6
"mcmc",1000,8,3.855195810020796,0.07803521389573645,2.891e-6
"mcmc",1,16,8.017029582577932,0.09645712844414728,4.433e-6
"mcmc",10,16,6.336361418324972,0.09198178419711965,4.441e-6
"mcmc",1000,16,3.8548308840795245,0.07822305734263683,4.4415e-6
"mcmc",1,32,8.252616831583834,0.1022369253185025,7.4644999999999994e-6
"mcmc",10,32,6.221922423960511,0.0921011101727928,8.1865e-6
"mcmc",1000,32,3.7292638503555535,0.0785736427226082,8.038e-6
"mcmc",1,64,8.25428800017787,0.10031650418752201,3.1424e-5
"mcmc",10,64,6.224144207596338,0.09356322074294,1.3978e-5
"mcmc",1000,64,3.808493194470466,0.07865984292120355,1.418e-5
"mcmc",1,128,8.16447595935055,0.0986923730820213,2.6252e-5
"mcmc",10,128,6.128704909819973,0.09028649170803411,2.6146499999999998e-5
"mcmc",1000,128,3.881267369693402,0.07837807381349425,5.9614499999999996e-5
